COD_UF;UF;populacao_2010;populacao_2022;crescimento_absoluto;crescimento_percentual
35;SP;41262199;44411238;3149039;7.63
42;SC;6248436;7610361;1361925;21.8
52;GO;6001789;7056495;1054706;17.57
41;PR;10444526;11444380;999854;9.57
31;MG;19597330;20539989;942659;4.81
51;MT;3035122;3658649;623527;20.54
15;PA;7581051;8120131;539080;7.11
13;AM;3483985;3941613;457628;13.14
23;CE;8451644;8794957;343313;4.06
32;ES;3514952;3833712;318760;9.07
50;MS;2449024;2757013;307989;12.58
26;PE;8796055;9058931;262876;2.99
53;DF;2572159;2817381;245222;9.53
25;PB;3766528;3974687;208159;5.53
21;MA;6574789;6776699;201910;3.07
43;RS;10693929;10882965;189036;1.77
14;RR;450479;636707;186228;41.34
22;PI;3119097;3271199;152102;4.88
28;SE;2067852;2210004;142152;6.87
24;RN;3168027;3302729;134702;4.25
17;TO;1383445;1511460;128015;9.25
29;BA;14017071;14141626;124555;0.89
12;AC;733559;830018;96459;13.15
33;RJ;15989929;16055174;65245;0.41
16;AP;669526;733759;64233;9.59
11;RO;1562409;1581196;18787;1.2
27;AL;3120887;3127683;6796;0.22
